#separator:Tab
#html:true
#notetype:Basic
#deck:Egzamin Magisterski ISY
#columns:Front	Back	Tags
#tags column:3

Porównać 'siłę wyrazu' automatu skończonego, automatu ze stosem oraz maszyny Turinga. Jakie klasy języków rozpoznaje każdy z nich?	<b>Automat Skończony (FA)</b>: Języki regularne (Typ 3)<br><br><b>Automat ze Stosem (PDA)</b>: Języki bezkontekstowe (Typ 2)<br><br><b>Maszyna Turinga (TM)</b>: Języki rekurencyjnie przeliczalne (Typ 0)	egzamin_magisterski pyt01 AISDI pytanie_glowne
Wyjaśnij: 3NF - Trzecia Postać Normalna	2. <b>Brak przechodnich zależności funkcyjnych</b> - atrybuty wtórne nie zależą od innych atrybutów wtórnych	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: BCNF - Postać Normalna Boyce'a-Codda	2. <b>Dla każdej nietrywialnej FD X → Y, X jest nadkluczem</b>	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: 4NF - Czwarta Postać Normalna	2. <b>Brak nietrywialnych zależności wielowartościowych</b> (MVD - Multivalued Dependencies)	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: 5NF - Piąta Postać Normalna (PJNF)	2. <b>Brak zależności połączeniowych</b> (Join Dependencies)	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Algorytm dekompozycji do 3NF	1. <b>Znajdź pokrycie kanoniczne</b> zbioru zależności funkcyjnych	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Własności dobrej dekompozycji	Po dekompozycji można odtworzyć oryginalną relację przez złączenie naturalne.	egzamin_magisterski pyt03 BD2 szczegoly
Kiedy stosować?	• <b>Optymalizacja wydajności</b>: - złączenia są kosztowne<br>• <b>Systemy OLAP/hurtownie danych</b>: - dane głównie odczytywane<br>• <b>Raportowanie</b>: - predefiniowane zapytania	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Techniki denormalizacji:	1. <b>Dodanie redundantnych kolumn</b> - unikanie złączeń	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Kompromis:	NORMALIZACJA ←————————————→ DENORMALIZACJA	egzamin_magisterski pyt03 BD2 szczegoly
Wyjaśnij: Wzór na 3NF:	> &quot;Każdy atrybut zależy od <b>klucza</b>, <b>całego klucza</b> i <b>tylko od klucza</b>.&quot;	egzamin_magisterski pyt03 BD2 szczegoly
Dlaczego baza danych stanowi dobry fundament do budowy wielu systemów informatycznych?	Baza danych to <b>centralny komponent</b> większości systemów informatycznych, ponieważ zapewnia:	egzamin_magisterski pyt04 BD2 pytanie_glowne
Wyjaśnij: Trójpoziomowa architektura ANSI/SPARC	┌─────────────────────────────────────────┐	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: Rodzaje niezależności	Zmiana sposobu przechowywania (indeksy, partycjonowanie, kompresja) <b>nie wpływa</b> na aplikacje.	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: Mechanizmy wymuszania integralności	id INT PRIMARY KEY, -- Klucz główny	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: Optymalizator zapytań	1. <b>Analizuje zapytanie</b> (parsing)	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: Wielopoziomowe zabezpieczenia	┌─────────────────────────────────────────┐	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: Kontrola dostępu	GRANT SELECT ON Sprzedaz TO analityk;	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: Skalowanie poziome (Scale-out)	• <b>Replikacja</b>: - kopie do odczytu<br>• <b>Sharding</b>: - podział danych między serwery<br>• <b>Klastry</b>: - wysoka dostępność	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: SQL jako lingua franca	• <b>Standardowy język</b>: - SQL:2016, SQL:2023<br>• <b>Przenośność</b>: - kod działa na różnych SZBD<br>• <b>Narzędzia</b>: - uniwersalne IDE, ORM, ETL	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: Bogaty ekosystem	• <b>ORM</b>: (Hibernate, Entity Framework, SQLAlchemy)<br>• <b>Narzędzia migracji</b>: (Flyway, Liquibase)<br>• <b>Monitorowanie</b>: (Grafana, Datadog)<br>• <b>Backup</b>: (pg_dump, mysqldump, RMAN)	egzamin_magisterski pyt04 BD2 szczegoly
Wyjaśnij: Polyglot Persistence	Nowoczesne systemy często używają <b>wielu baz</b> - każda do swojego celu.	egzamin_magisterski pyt04 BD2 szczegoly
Omówić główne kategorie elementów biblioteki STL. Jaka jest ich rola i wzajemne powiązania? Odpowiedź uzasadnić na przykładach.	<b>STL (Standard Template Library)</b> to część standardowej biblioteki C++ zawierająca generyczne struktury danych i algorytmy. Została zaprojektowana przez Alexandra Stepanova i weszła do standardu C++98.	egzamin_magisterski pyt05 PROI pytanie_glowne
Wyjaśnij: Filozofia STL	• <b>Generyczność</b>: - szablony (templates) umożliwiają pracę z dowolnymi typami<br>• <b>Wydajność</b>: - zero-overhead abstraction<br>• <b>Modularność</b>: - komponenty są niezależne i wymienne<br>• <b>Ortogonalność</b>: - kontenery i algorytmy są rozdzielone (przez iteratory)	egzamin_magisterski pyt05 PROI szczegoly
Wyjaśnij: Kategorie kontenerów	Przechowują elementy w określonej kolejności.	egzamin_magisterski pyt05 PROI szczegoly
Wyjaśnij: Hierarchia iteratorów	Input Iterator Output Iterator	egzamin_magisterski pyt05 PROI szczegoly
Wyjaśnij: Kategorie iteratorów	std::vector<int> vec = {1, 2, 3, 4, 5};	egzamin_magisterski pyt05 PROI szczegoly
Wyjaśnij: Iteratory specjalne	std::vector<int> vec = {1, 2, 3};	egzamin_magisterski pyt05 PROI szczegoly
Wyjaśnij: Kategorie algorytmów	std::vector<int> vec = {1, 2, 3, 4, 5, 3};	egzamin_magisterski pyt05 PROI szczegoly
Wyjaśnij: Rodzaje funktorów	std::vector<int> vec = {3, 1, 4, 1, 5};	egzamin_magisterski pyt05 PROI szczegoly
Wyjaśnij: Kluczowa zasada: Ortogonalność	<b>M kontenerów × N algorytmów = M + N implementacji</b> (nie M × N!)	egzamin_magisterski pyt05 PROI szczegoly
Omówić metody reużywalności kodu i struktur danych w obiektowych językach programowania.	<b>Reużywalność kodu (code reuse)</b> to fundamentalna zasada inżynierii oprogramowania - &quot;nie wynajduj koła na nowo&quot;. W programowaniu obiektowym mamy kilka mechanizmów umożliwiających wielokrotne wykorzystanie kodu.	egzamin_magisterski pyt06 PROI pytanie_glowne
Wyjaśnij: Główne metody reużywalności	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt06 PROI szczegoly
Wyjaśnij: Problem diamentu (Diamond Problem)	class A { public: void metoda() {} };	egzamin_magisterski pyt06 PROI szczegoly
Wyjaśnij: Typy relacji obiektowych	// Kompozycja - silnik &quot;umiera&quot; z samochodem	egzamin_magisterski pyt06 PROI szczegoly
Wyjaśnij: Szablony w C++	// Użycie - kompilator generuje wersje dla każdego typu	egzamin_magisterski pyt06 PROI szczegoly
Wyjaśnij: Generyki w Java/C#	public void set(T value) { this.value = value; }	egzamin_magisterski pyt06 PROI szczegoly
Wyjaśnij: Wzorzec strategii (Strategy Pattern)	virtual void sort(std::vector<int>& data) = 0;	egzamin_magisterski pyt06 PROI szczegoly
Wyjaśnij: Mixiny (Mixins)	Klasy dostarczające funkcjonalność do &quot;wmieszania&quot; do innych klas.	egzamin_magisterski pyt06 PROI szczegoly
Wyjaśnij: Traity (Traits)	fn move_to(&mut self, x: i32, y: i32);	egzamin_magisterski pyt06 PROI szczegoly
Wyjaśnij: Poziomy reużywalności	┌─────────────────────────────────────────────────────┐	egzamin_magisterski pyt06 PROI szczegoly
Które serwery DNS najwięcej zyskują dzięki buforowaniu zapytań (caching) w serwerach rekursywnych? Jakie znasz rodzaje serwerów DNS?	Przechowują oryginalne rekordy DNS dla danej domeny. Są &quot;źródłem prawdy&quot;.<br><br>Wykonują pełne rozwiązywanie nazw w imieniu klienta, pytając kolejno serwery autorytatywne.<br><br>Prosty klient DNS w systemie operacyjnym. Wysyła zapytanie do rekursywnego resolvera i czeka na odpowiedź.	egzamin_magisterski pyt07 SKM pytanie_glowne
Wyjaśnij: Wprowadzenie do DNS	<b>DNS (Domain Name System)</b> to hierarchiczny, rozproszony system tłumaczenia nazw domenowych na adresy IP (i odwrotnie).	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: Hierarchia DNS	. (root)	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: 1 Serwery autorytatywne (Authoritative)	• <b>13 logicznych serwerów:</b>: a.root-servers.net do m.root-servers.net<br>• <b>Fizycznie:</b>: Setki serwerów (anycast)<br>• <b>Funkcja:</b>: Wskazują serwery TLD<br>• <b>gTLD:</b>: .com, .org, .net (generic)<br>• <b>ccTLD:</b>: .pl, .de, .uk (country code)	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: 2 Serwery rekursywne (Recursive Resolvers)	<b>Definicja:</b> Wykonują pełne rozwiązywanie nazw w imieniu klienta, pytając kolejno serwery autorytatywne.	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: 3 Stub Resolvers (Resolwery klienckie)	<b>Definicja:</b> Prosty klient DNS w systemie operacyjnym. Wysyła zapytanie do rekursywnego resolvera i czeka na odpowiedź.	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: 4 Forwarding Servers (Przekazujące)	<b>Definicja:</b> Przyjmują zapytania i przekazują je do innego resolvera zamiast samodzielnie rozwiązywać.	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: Zapytanie rekursywne vs iteracyjne	ZAPYTANIE REKURSYWNE (klient → resolver):	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: Pełny proces rozwiązywania	Klient Recursive Root .com TLD example.com	egzamin_magisterski pyt07 SKM szczegoly
Jak działa caching?	1. <b>Resolver otrzymuje odpowiedź</b> z serwera autorytatywnego	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: TTL (Time To Live)	www.example.com. 300 IN A 93.184.216.34	egzamin_magisterski pyt07 SKM szczegoly
Dlaczego root servers zyskują najwięcej?	┌────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt07 SKM szczegoly
Dlaczego ROOT i TLD zyskują więcej niż authoritative?	1. <b>Mniejsza liczba = więcej zapytań na serwer:</b>	egzamin_magisterski pyt07 SKM szczegoly
Wyjaśnij: Podsumowanie zysków z cachingu	REDUKCJA RUCHU DZIĘKI CACHINGOWI:	egzamin_magisterski pyt07 SKM szczegoly
Jaki jest cel uzgadniania trójetapowego (three way handshake) w protokole TCP? Jaka jest interpretacja numerów sekwencyjnych i potwierdzenia? Jaka jest wartość początkowa numeru sekwencyjnego?	<b>TCP (Transmission Control Protocol)</b> to protokół warstwy transportowej zapewniający:	egzamin_magisterski pyt08 SKM pytanie_glowne
Wyjaśnij: Wprowadzenie do TCP	<b>TCP (Transmission Control Protocol)</b> to protokół warstwy transportowej zapewniający:	egzamin_magisterski pyt08 SKM szczegoly
Wyjaśnij: Cele uzgadniania trójetapowego	1. <b>Nawiązanie połączenia</b> - obie strony zgadzają się na komunikację	egzamin_magisterski pyt08 SKM szczegoly
Wyjaśnij: Przebieg (diagram)	Klient Serwer	egzamin_magisterski pyt08 SKM szczegoly
Wyjaśnij: Szczegółowy opis kroków	┌────────────────────────────────────────┐	egzamin_magisterski pyt08 SKM szczegoly
Wyjaśnij: Interpretacja	<b>Sequence Number (SEQ)</b> = numer pierwszego bajtu danych w segmencie	egzamin_magisterski pyt08 SKM szczegoly
Wyjaśnij: Kumulatywne potwierdzenia	TCP używa <b>cumulative ACK</b> - potwierdza wszystkie bajty do danego numeru:	egzamin_magisterski pyt08 SKM szczegoly
Wyjaśnij: Selective ACK (SACK)	Opcja TCP pozwalająca potwierdzać niesąsiednie bloki:	egzamin_magisterski pyt08 SKM szczegoly
Dlaczego ISN nie zaczyna od 0?	1. <b>Bezpieczeństwo</b> - przewidywalny ISN umożliwia ataki (TCP hijacking)	egzamin_magisterski pyt08 SKM szczegoly
Wyjaśnij: Generowanie ISN	• <b>M</b>: = timer (jak wyżej)<br>• <b>F</b>: = funkcja kryptograficzna (MD5/SHA)<br>• <b>secretkey</b>: = tajny klucz serwera	egzamin_magisterski pyt08 SKM szczegoly
Wyjaśnij: Zakres numerów sekwencyjnych	SEQ: 32 bity → zakres 0 do 4,294,967,295 (2^32 - 1)	egzamin_magisterski pyt08 SKM szczegoly
Procesy i wątki w systemie operacyjnym. Omówić budowę, szybkość działania i zakres zastosowania. Przedstawić problemy i możliwości komunikacji i synchronizacji.	<b>Proces</b> i <b>wątek</b> to podstawowe jednostki wykonania w systemach operacyjnych. Różnią się poziomem izolacji i kosztami przełączania.	egzamin_magisterski pyt09 SOI pytanie_glowne
Wyjaśnij: Budowa procesu	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: PCB (Process Control Block)	Struktura w jądrze przechowująca informacje o procesie:	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: Stany procesu	┌──────────────────┐	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: Budowa wątku	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: Wątki użytkownika (User-level Threads)	┌─────────────────────────────────────────┐	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: Wątki jądra (Kernel-level Threads)	┌─────────────────────────────────────────┐	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: Mechanizmy IPC	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: Szczegóły mechanizmów	// Potok nienazwany (anonimowy)	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: Problemy współbieżności	Wątek A: lock(mutex1) → czeka na mutex2	egzamin_magisterski pyt09 SOI szczegoly
Wyjaśnij: Mechanizmy synchronizacji	• <b>Binarny</b>: (0/1) - jak mutex<br>• <b>Licznikowy</b>: - ogranicza liczbę wątków (np. pula połączeń)	egzamin_magisterski pyt09 SOI szczegoly
Kiedy procesy?	• <b>Izolacja</b>: - awaria jednego nie wpływa na inne<br>• <b>Bezpieczeństwo</b>: - różne uprawnienia<br>• <b>Różne języki/technologie</b>: - mikrousługi<br>• <b>Niezawodność</b>: - restart bez wpływu na system	egzamin_magisterski pyt09 SOI szczegoly
Kiedy wątki?	• <b>Współdzielenie danych</b>: - bez kopiowania<br>• <b>Responsywność</b>: - UI thread + worker threads<br>• <b>Równoległość CPU</b>: - obliczenia na wielu rdzeniach<br>• <b>I/O asynchroniczne</b>: - czekanie nie blokuje wszystkiego	egzamin_magisterski pyt09 SOI szczegoly
Scharakteryzować problemy i mechanizmy zarządzania pamięcią. Porównać cechy i przeznaczenie mechanizmów stronicowania i segmentacji.	<b>Zarządzanie pamięcią</b> to jeden z kluczowych zadań systemu operacyjnego:	egzamin_magisterski pyt10 SOI pytanie_glowne
Wyjaśnij: 1 Fragmentacja	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: 3 Relokacja	<b>Problem:</b> Program kompilowany z założeniem konkretnych adresów musi działać pod różnymi adresami.	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: 1 Partycjonowanie stałe (Fixed Partitioning)	┌────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: 2 Partycjonowanie dynamiczne (Dynamic Partitioning)	┌────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: Idea	• <b>Strona (Page)</b>: - blok pamięci wirtualnej (4KB typowo)<br>• <b>Ramka (Frame)</b>: - blok pamięci fizycznej (ten sam rozmiar)	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: Translacja adresu	Adres wirtualny (32-bit, strony 4KB):	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: Wielopoziomowe tablice stron	<b>Problem:</b> Tablica stron dla 32-bit przestrzeni z 4KB stronami = 2²⁰ wpisów × 4B = <b>4MB per proces!</b>	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: TLB (Translation Lookaside Buffer)	<b>Problem:</b> Każdy dostęp do pamięci wymaga 2+ odczytów (tablica + dane).	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: Ochrona w segmentacji	• <b>R</b>: (Read) - odczyt dozwolony<br>• <b>W</b>: (Write) - zapis dozwolony<br>• <b>X</b>: (Execute) - wykonanie dozwolone	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: Intel x86 (tryb chroniony)	Adres logiczny (Selector:Offset)	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: Zalety hybrydowego podejścia	1. <b>Ochrona</b> z segmentacji (kod vs dane vs stos)	egzamin_magisterski pyt10 SOI szczegoly
Wyjaśnij: Algorytm Clock (Second Chance)	┌──→│ 1 │──┐ Bit referencji:	egzamin_magisterski pyt10 SOI szczegoly
Scharakteryzować standardy i narzędzia do modelowania procesów biznesowych.	| CO robimy (flow) | JAK robimy (instrukcja) |	egzamin_magisterski pyt11 WSYZ pytanie_glowne
Wyjaśnij: Przegląd standardów	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt11 WSYZ szczegoly
Wyjaśnij: Podstawowe elementy BPMN	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt11 WSYZ szczegoly
Wyjaśnij: Elementy Activity Diagrams	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt11 WSYZ szczegoly
Wyjaśnij: Elementy EPC	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt11 WSYZ szczegoly
Wyjaśnij: Reguły EPC	1. <b>Start i koniec:</b> Zdarzenie	egzamin_magisterski pyt11 WSYZ szczegoly
Wyjaśnij: IDEF0 - Modelowanie funkcji	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt11 WSYZ szczegoly
Wyjaśnij: Flowcharts (Schematy blokowe)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt11 WSYZ szczegoly
Wyjaśnij: Value Stream Map (VSM)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt11 WSYZ szczegoly
Wyjaśnij: Petri Nets (Sieci Petriego)	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt11 WSYZ szczegoly
Przedstawić sieciowe modele optymalizacji stosowane w systemach zarządzania. Omówić ich właściwości.	<b>Sieciowe modele optymalizacji</b> to matematyczne reprezentacje problemów decyzyjnych w postaci grafów (sieci), gdzie:	egzamin_magisterski pyt12 WSYZ pytanie_glowne
Wyjaśnij: Właściwości	• <b>NP-trudny</b>: - brak algorytmu wielomianowego	egzamin_magisterski pyt12 WSYZ szczegoly
Wyjaśnij: CPM (Critical Path Method)	A(2)──┤ ├──E(2)──F(1)	egzamin_magisterski pyt12 WSYZ szczegoly
Omówić szczegółowo teorie, definicje, standardy i narzędzia wykorzystywane przy projektowaniu i implementacji systemów opartych na koncepcji agenta i aktora.	Zachowania niskopoziomowe mogą być &quot;nadpisane&quot; przez wyższe.	egzamin_magisterski pyt13 AASD pytanie_glowne
Wyjaśnij: Definicje fundamentalne	<b>Agent</b> = system komputerowy umieszczony w środowisku, zdolny do <b>autonomicznego działania</b> w celu realizacji celów.	egzamin_magisterski pyt13 AASD szczegoly
Wyjaśnij: Architektury agentów	┌─────────────────────────────────────────────────────────────────┐	egzamin_magisterski pyt13 AASD szczegoly
Wyjaśnij: Standardy komunikacji agentów	<b>FIPA-ACL</b> (Agent Communication Language):	egzamin_magisterski pyt13 AASD szczegoly
Wyjaśnij: Protokoły interakcji	┌─────────┐ cfp ┌─────────┐	egzamin_magisterski pyt13 AASD szczegoly
Wymienić i szczegółowo opisać wybrane algorytmy i metody wykorzystywane w systemach wieloagentowych i aktorowych.	<b>Zastosowania:</b> Przydział zadań, zarządzanie zasobami, e-commerce<br><br>Problem: Środowisko niestacjonarne (inni agenci się zmieniają)<br><br>Ordering constraints: flexible (równoległość gdy możliwa)	egzamin_magisterski pyt14 AASD pytanie_glowne
Wyjaśnij: Algorytmy negocjacji i aukcji	1. ANNOUNCEMENT - Manager ogłasza zadanie (cfp)	egzamin_magisterski pyt14 AASD szczegoly
